BNS name,CNF name,CNF weight (g),CNF protein (g),% N
# BNSD36F: Gram Weight - Celery,,40,0,0
# BNSD36J: Gram Weight - Onion/Green Onions/Leeks/Garlic,yellow onions,41,1,0.003902439
# BNSD40B: Gram Weight - Apple,,138,0.3,0.000347826
# BNSD40H: Gram Weight - Pears,,166,1,0.000963855
# BNSD40A: Gram Weight - Citrus Fruit (Oranges/Lemons/Grapefruits),,131,1,0.001221374
# BNSD36O: Gram Weight - Juices : Tomato & Vegetables,tomato,128,1,0.00125
# BNSD36N: Gram Weight - Tomatoes,,123,1,0.001300813
# BNSD40C: Gram Weight - Banana,,118,1,0.001355932
# BNSD40E: Gram Weight - Grapes/Raisins,,100,1,0.0016
# BNSD40G: Gram Weight - Peaches/Nectarines,peach,98,1,0.001632653
# BNSD40F: Gram Weight - Melons (Canteloup/Honeydew/Watermelon),,85,1,0.001882353
# BNSD40K: Gram Weight - Strawberries,,84,1,0.001904762
# BNSD36L: Gram Weight - Peppers : Red/Green,,82,1,0.00195122
# BNSD36E: Gram Weight - Carrots,,80,1,0.002
# BNSD36C: Gram Weight - Cabbage / Kale,"cabbage green, raw",79,1,0.002025316
# BNSD40L: Gram Weight - Other Fruits (Blueberrie/Date/Kiwi/Fruit Salad),blueberry,77,1,0.002077922
# BNSD40D: Gram Weight - Cherries,,68,1,0.002352941
# BNSD39A: Gram Weight - Potato,boiled,135,2,0.00237037
# BNSD08A: Gram Weight - Pies : Commercial,apple,125,2,0.00256
# BNSD36H: Gram Weight - Lettuce/Leafy Greens (Spinach/Mustard Greens),,58,1,0.002758621
# BNSD38B: Gram Weight - Fried/Roasted Potatoes,baked,156,3,0.003076923
# BNSD36P: Gram Weight - Other Veg. (Cucumber/Beet/Turnip),Beets,90,2,0.003555556
# BNSD05A: Gram Weight - Whole Grain/Oats/High Fibre Breakfast Cereals,oatmeal quick,173,4,0.003699422
# BNSD01B: Gram Weight - Rice,white rice,83,2,0.003855422
# BNSD36B: Gram Weight - Broccoli,,82,2,0.003902439
# BNSD04D: Gram Weight - Pancakes/Waffles,pancake,40,1,0.004
# BNSD04F: Gram Weight - Dry Mixes (Cakes/Muffins/Pancakes),pancake,40,1,0.004
# BNSD36M: Gram Weight - Squashes,zuchinni,40,1,0.004
# BNSD10J: Gram Weight - Plant-based Beverage (Soy/Almond/Coconut),soy milk,257,7,0.004357977
# BNSD43C: Gram Weight - Gelatin/Dessert Toppings/Pudding Mixes : Commercial,chocolate pudding,99,3,0.004848485
# BNSD10A: Gram Weight - Milk : Whole,,258,8,0.00496124
# BNSD10K: Gram Weight - Milk : Goat/Sheep,milk whole,258,8,0.00496124
# BNSD46D: Gram Weight - Other Beverages (Malted Milk/Chocolate beverage),chocolate milk,264,9,0.005454545
# BNSD36G: Gram Weight - Corn,,87,3,0.005517241
# BNSD10I: Gram Weight - Milk : Other (Whey/Buttermilk),buttermilk,259,9,0.005559846
# BNSD10B: Gram Weight - Milk : 2%,,258,9,0.005581395
# BNSD10C: Gram Weight - Milk : 1%,,258,9,0.005581395
# BNSD10D: Gram Weight - Milk : Skim,,258,9,0.005581395
# BNSD36I: Gram Weight - Mushrooms,,54,2,0.005925926
# BNSD09A: Gram Weight - Ice Cream,"vanilla, regular",76,3,0.006315789
# BNSD09C: Gram Weight - Frozen Yoghurt,vanilla,76,3,0.006315789
# BNSD08C: Gram Weight - Danishes/Doughnuts/Other Pastries : Commercial,doughnut,47,2,0.006808511
# BNSD36K: Gram Weight - Peas/Snow Peas,green,85,4,0.007529412
# BNSD01A: Gram Weight - Pasta,spaghetti,148,7,0.007567568
# BNSD36A: Gram Weight - Beans,baked,188,9,0.007659574
# BNSD15B: Gram Weight - Yoghurts : More than 2.1% B.F.,,181,9,0.007955801
