source:,"De Jong, R., Drury, C. F., Yang, J. Y., & Campbell, C. A. (2009). Risk of water contamination by nitrogen in Canada as estimated by the IROWC-N model. Journal of Environmental Management, 90(10), 3169–3181. https://doi.org/10.1016/j.jenvman.2009.05.034",,,,,,,,,,,,,,,,,,,,
,RSN (kgN/ha),,,,,,,N lost (kg N/ha),,,,,,,% Lost,,,,,,
,1981,1986,1991,1996,2001,2006,mean,1981,1986,1991,1996,2001,2006,mean,1981,1986,1991,1996,2001,2006,mean
British Columbia,17.1,20.3,17,21.3,28.1,20.1,20.6,1.5,1.7,1.9,1.9,1.9,2.2,1.9,0.087719298,0.083743842,0.111764706,0.089201878,0.067615658,0.109452736,0.09223301
Alberta,8.6,6.1,9.4,15.4,22.7,16.3,13.1,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.034883721,0.06557377,0.042553191,0.032467532,0.026431718,0.030674847,0.038167939
Saskatchewan,0.1,0.3,0.2,3.6,13.5,8.6,4.4,0,0.1,0,0.1,0.3,0.4,0.2,0,0.333333333,0,0.027777778,0.022222222,0.046511628,0.045454545
Manitoba,8.6,15.6,20.3,27.1,35.4,27.9,22.5,0.3,0.5,0.6,0.7,1.9,2,1,0.034883721,0.032051282,0.02955665,0.025830258,0.053672316,0.071684588,0.044444444
Ontario,42.2,48.5,43.7,43.3,59.9,40,46.3,2.3,3.7,3.1,2.3,3.3,3.4,3,0.05450237,0.07628866,0.070938215,0.053117783,0.05509182,0.085,0.064794816
Quebec,34.4,43.3,50.3,46.9,62.8,44.4,47,3.3,4.6,3.9,4.5,5.5,6,4.6,0.095930233,0.106235566,0.077534791,0.095948827,0.087579618,0.135135135,0.09787234
New Brunswick,23.8,33.6,44.7,41,52.9,57.3,42.2,2.6,3.8,3.2,4,5.6,7.6,4.5,0.109243697,0.113095238,0.071588367,0.097560976,0.105860113,0.132635253,0.106635071
Nova Scotia,28.9,36.1,46.2,40.4,56.6,58,44.4,3,5.2,3.6,3.9,7.2,7,5,0.103806228,0.144044321,0.077922078,0.096534653,0.127208481,0.120689655,0.112612613
Prince Edward Island,24.3,35.1,44.9,45.4,64.9,65.5,46.7,2.5,2.7,2.7,3.7,5.3,5,3.7,0.102880658,0.076923077,0.06013363,0.081497797,0.081664099,0.076335878,0.079229122
Newfoundland and Labrador,20,41.4,32.1,47.6,53.3,52.7,41.2,3.9,4.4,4.6,5.6,8,6.3,5.5,0.195,0.106280193,0.143302181,0.117647059,0.150093809,0.119544592,0.133495146
Canada,9.3,10,11.3,15.5,25,17.7,14.8,0.5,0.7,0.7,0.7,1.1,1.1,0.8,0.053763441,0.07,0.061946903,0.04516129,0.044,0.062146893,0.054054054
