source:,"Table 32-10-0107-01  Aquaculture, production and value",,,,,,,,,** finfish production is reported as gutted head-on. Shellfish is reported as whole,,,,,
REF_DATE,GEO,DGUID,Finfish and shellfish,Production,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1991,Canada,2016A000011124,Total aquaculture,Tonnes,Tonnes,287,units,0,v110732,1.1.1,49594,,,,0
1991,Canada,2016A000011124,Total aquaculture,Dollars,Dollars,81,thousands,3,v110743,1.1.2,233559,,,,0
1991,Canada,2016A000011124,Total finfish,Tonnes,Tonnes,287,units,0,v110578,1.2.1,39004,,,,0
1991,Canada,2016A000011124,Total finfish,Dollars,Dollars,81,thousands,3,v110589,1.2.2,221328,,,,0
1991,Canada,2016A000011124,Salmon,Tonnes,Tonnes,287,units,0,v110490,1.3.1,34109,,,,0
1991,Canada,2016A000011124,Salmon,Dollars,Dollars,81,thousands,3,v110501,1.3.2,195538,,,,0
1991,Canada,2016A000011124,Trout,Tonnes,Tonnes,287,units,0,v110512,1.4.1,2839,,,,0
1991,Canada,2016A000011124,Trout,Dollars,Dollars,81,thousands,3,v110523,1.4.2,13195,,,,0
1991,Canada,2016A000011124,Steelhead,Tonnes,Tonnes,287,units,0,v110534,1.5.1,485,,,,0
1991,Canada,2016A000011124,Steelhead,Dollars,Dollars,81,thousands,3,v110545,1.5.2,2380,,,,0
1991,Canada,2016A000011124,Other finfish,Tonnes,Tonnes,287,units,0,v110556,1.6.1,34,,,,0
1991,Canada,2016A000011124,Other finfish,Dollars,Dollars,81,thousands,3,v110567,1.6.2,266,,,,0
1991,Canada,2016A000011124,Total shellfish,Tonnes,Tonnes,287,units,0,v110710,1.7.1,10590,,,,0
1991,Canada,2016A000011124,Total shellfish,Dollars,Dollars,81,thousands,3,v110721,1.7.2,12231,,,,0
1991,Canada,2016A000011124,Clams,Tonnes,Tonnes,287,units,0,v110600,1.8.1,642,,,,0
1991,Canada,2016A000011124,Clams,Dollars,Dollars,81,thousands,3,v110611,1.8.2,1290,,,,0
1991,Canada,2016A000011124,Oysters,Tonnes,Tonnes,287,units,0,v110622,1.9.1,5900,,,,0
1991,Canada,2016A000011124,Oysters,Dollars,Dollars,81,thousands,3,v110633,1.9.2,5952,,,,0
1991,Canada,2016A000011124,Mussels,Tonnes,Tonnes,287,units,0,v110644,1.10.1,3956,,,,0
1991,Canada,2016A000011124,Mussels,Dollars,Dollars,81,thousands,3,v110655,1.10.2,4875,,,,0
1991,Canada,2016A000011124,Scallops,Tonnes,Tonnes,287,units,0,v110666,1.11.1,2,,,,0
1991,Canada,2016A000011124,Scallops,Dollars,Dollars,81,thousands,3,v110677,1.11.2,8,,,,0
1991,Canada,2016A000011124,Other shellfish,Tonnes,Tonnes,287,units,0,v110688,1.12.1,0,,,,0
1991,Canada,2016A000011124,Other shellfish,Dollars,Dollars,81,thousands,3,v110699,1.12.2,0,,,,0
1991,Newfoundland and Labrador,2016A000210,Total aquaculture,Tonnes,Tonnes,287,units,0,v110733,2.1.1,474,,,,0
1991,Newfoundland and Labrador,2016A000210,Total aquaculture,Dollars,Dollars,81,thousands,3,v110744,2.1.2,1108,,,,0
1991,Newfoundland and Labrador,2016A000210,Total finfish,Tonnes,Tonnes,287,units,0,v110579,2.2.1,152,,,,0
1991,Newfoundland and Labrador,2016A000210,Total finfish,Dollars,Dollars,81,thousands,3,v110590,2.2.2,540,,,,0
1991,Newfoundland and Labrador,2016A000210,Salmon,Tonnes,Tonnes,287,units,0,v110491,2.3.1,66,,,,0
1991,Newfoundland and Labrador,2016A000210,Salmon,Dollars,Dollars,81,thousands,3,v110502,2.3.2,260,,,,0
1991,Newfoundland and Labrador,2016A000210,Trout,Tonnes,Tonnes,287,units,0,v110513,2.4.1,10,,,,0
1991,Newfoundland and Labrador,2016A000210,Trout,Dollars,Dollars,81,thousands,3,v110524,2.4.2,30,,,,0
1991,Newfoundland and Labrador,2016A000210,Steelhead,Tonnes,Tonnes,287,units,0,v110535,2.5.1,76,,,,0
1991,Newfoundland and Labrador,2016A000210,Steelhead,Dollars,Dollars,81,thousands,3,v110546,2.5.2,250,,,,0
1991,Newfoundland and Labrador,2016A000210,Other finfish,Tonnes,Tonnes,287,units,0,v110557,2.6.1,,x,,,0
1991,Newfoundland and Labrador,2016A000210,Other finfish,Dollars,Dollars,81,thousands,3,v110568,2.6.2,,x,,,0
1991,Newfoundland and Labrador,2016A000210,Total shellfish,Tonnes,Tonnes,287,units,0,v110711,2.7.1,322,,,,0
1991,Newfoundland and Labrador,2016A000210,Total shellfish,Dollars,Dollars,81,thousands,3,v110722,2.7.2,568,,,,0
1991,Newfoundland and Labrador,2016A000210,Clams,Tonnes,Tonnes,287,units,0,v110601,2.8.1,0,,,,0
1991,Newfoundland and Labrador,2016A000210,Clams,Dollars,Dollars,81,thousands,3,v110612,2.8.2,0,,,,0
1991,Newfoundland and Labrador,2016A000210,Oysters,Tonnes,Tonnes,287,units,0,v110623,2.9.1,0,,,,0
1991,Newfoundland and Labrador,2016A000210,Oysters,Dollars,Dollars,81,thousands,3,v110634,2.9.2,0,,,,0
1991,Newfoundland and Labrador,2016A000210,Mussels,Tonnes,Tonnes,287,units,0,v110645,2.10.1,320,,,,0
1991,Newfoundland and Labrador,2016A000210,Mussels,Dollars,Dollars,81,thousands,3,v110656,2.10.2,560,,,,0
1991,Newfoundland and Labrador,2016A000210,Scallops,Tonnes,Tonnes,287,units,0,v110667,2.11.1,2,,,,0
1991,Newfoundland and Labrador,2016A000210,Scallops,Dollars,Dollars,81,thousands,3,v110678,2.11.2,8,,,,0
1991,Newfoundland and Labrador,2016A000210,Other shellfish,Tonnes,Tonnes,287,units,0,v110689,2.12.1,0,,,,0
1991,Newfoundland and Labrador,2016A000210,Other shellfish,Dollars,Dollars,81,thousands,3,v110700,2.12.2,0,,,,0
