source:,"Table 32-10-0117-01  Production, disposition and farm value of poultry meat (x 1,000)",,,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Production and disposition,Commodity,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1941,Canada,2016A000011124,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60563,1.1.1.1,39766,,,,0
1941,Canada,2016A000011124,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60594,1.1.1.2,89480,,,,0
1941,Canada,2016A000011124,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60625,1.1.1.3,29367,,,,0
1941,Canada,2016A000011124,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60749,1.1.2.1,2959,,,,0
1941,Canada,2016A000011124,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60777,1.1.2.2,16108,,,,0
1941,Canada,2016A000011124,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60805,1.1.2.3,6395,,,,0
1941,Prince Edward Island,2016A000211,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60564,3.1.1.1,485,,,,0
1941,Prince Edward Island,2016A000211,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60595,3.1.1.2,1100,,,,0
1941,Prince Edward Island,2016A000211,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60626,3.1.1.3,427,,,,0
1941,Prince Edward Island,2016A000211,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60750,3.1.2.1,13,,,,0
1941,Prince Edward Island,2016A000211,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60778,3.1.2.2,72,,,,0
1941,Prince Edward Island,2016A000211,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60806,3.1.2.3,32,,,,0
1941,Prince Edward Island,2016A000211,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60565,3.2.1.1,147,,,,0
1941,Prince Edward Island,2016A000211,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60596,3.2.1.2,333,,,,0
1941,Prince Edward Island,2016A000211,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60627,3.2.1.3,129,,,,0
1941,Prince Edward Island,2016A000211,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60751,3.2.2.1,1,,,,0
1941,Prince Edward Island,2016A000211,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60779,3.2.2.2,5,,,,0
1941,Prince Edward Island,2016A000211,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60807,3.2.2.3,2,,,,0
1941,Prince Edward Island,2016A000211,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60566,3.3.1.1,329,,,,0
1941,Prince Edward Island,2016A000211,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60597,3.3.1.2,746,,,,0
1941,Prince Edward Island,2016A000211,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60628,3.3.1.3,290,,,,0
1941,Prince Edward Island,2016A000211,Sold,Turkey,Birds,Birds,37,thousands,3,v60752,3.3.2.1,12,,,,0
1941,Prince Edward Island,2016A000211,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60780,3.3.2.2,65,,,,0
1941,Prince Edward Island,2016A000211,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60808,3.3.2.3,30,,,,0
1941,Nova Scotia,2016A000212,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60570,4.1.1.1,816,,,,0
1941,Nova Scotia,2016A000212,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60601,4.1.1.2,1851,,,,0
1941,Nova Scotia,2016A000212,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60632,4.1.1.3,762,,,,0
1941,Nova Scotia,2016A000212,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60753,4.1.2.1,14,,,,0
1941,Nova Scotia,2016A000212,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60781,4.1.2.2,79,,,,0
1941,Nova Scotia,2016A000212,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60809,4.1.2.3,42,,,,0
1941,Nova Scotia,2016A000212,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60571,4.2.1.1,411,,,,0
1941,Nova Scotia,2016A000212,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60602,4.2.1.2,932,,,,0
1941,Nova Scotia,2016A000212,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60633,4.2.1.3,384,,,,0
1941,Nova Scotia,2016A000212,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60754,4.2.2.1,1,,,,0
1941,Nova Scotia,2016A000212,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60782,4.2.2.2,5,,,,0
1941,Nova Scotia,2016A000212,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60810,4.2.2.3,3,,,,0
1941,Nova Scotia,2016A000212,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60572,4.3.1.1,334,,,,0
1941,Nova Scotia,2016A000212,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60603,4.3.1.2,757,,,,0
1941,Nova Scotia,2016A000212,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60634,4.3.1.3,312,,,,0
1941,Nova Scotia,2016A000212,Sold,Turkey,Birds,Birds,37,thousands,3,v60755,4.3.2.1,12,,,,0
1941,Nova Scotia,2016A000212,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60783,4.3.2.2,65,,,,0
1941,Nova Scotia,2016A000212,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60811,4.3.2.3,35,,,,0
1941,New Brunswick,2016A000213,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60573,5.1.1.1,711,,,,0
1941,New Brunswick,2016A000213,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60604,5.1.1.2,1613,,,,0
1941,New Brunswick,2016A000213,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60635,5.1.1.3,704,,,,0
1941,New Brunswick,2016A000213,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60756,5.1.2.1,33,,,,0
1941,New Brunswick,2016A000213,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60784,5.1.2.2,178,,,,0
1941,New Brunswick,2016A000213,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60812,5.1.2.3,99,,,,0
1941,New Brunswick,2016A000213,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60574,5.2.1.1,408,,,,0
1941,New Brunswick,2016A000213,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60605,5.2.1.2,925,,,,0
1941,New Brunswick,2016A000213,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60636,5.2.1.3,404,,,,0
1941,New Brunswick,2016A000213,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60757,5.2.2.1,3,,,,0
1941,New Brunswick,2016A000213,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60785,5.2.2.2,16,,,,0
1941,New Brunswick,2016A000213,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60813,5.2.2.3,9,,,,0
1941,New Brunswick,2016A000213,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60575,5.3.1.1,253,,,,0
