source:,"Table 32-10-0119-01  Production and disposition of eggs, annual",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Production and disposition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1920,Canada,2016A000011124,Average number of layers,Layers,201,thousands,3,v61001,1.1,14229,,,,0
1920,Canada,2016A000011124,Eggs per 100 layers,Eggs,132,units ,0,v61012,1.2,9600,,,,0
1920,Canada,2016A000011124,Production of eggs in shell,Dozens,129,thousands,3,v61023,1.3,112148,,,,0
1920,Canada,2016A000011124,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61083,1.9,33960,,,,0
1920,Newfoundland and Labrador,2016A000210,Average number of layers,Layers,201,thousands,3,v61003,2.1,0,,,,0
1920,Newfoundland and Labrador,2016A000210,Eggs per 100 layers,Eggs,132,units ,0,v61014,2.2,0,,,,0
1920,Newfoundland and Labrador,2016A000210,Production of eggs in shell,Dozens,129,thousands,3,v61030,2.3,0,,,,0
1920,Newfoundland and Labrador,2016A000210,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61089,2.9,0,,,,0
1920,Prince Edward Island,2016A000211,Average number of layers,Layers,201,thousands,3,v61002,3.1,295,,,,0
1920,Prince Edward Island,2016A000211,Eggs per 100 layers,Eggs,132,units ,0,v61013,3.2,9900,,,,0
1920,Prince Edward Island,2016A000211,Production of eggs in shell,Dozens,129,thousands,3,v61024,3.3,2397,,,,0
1920,Prince Edward Island,2016A000211,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61084,3.9,526,,,,0
1920,Nova Scotia,2016A000212,Average number of layers,Layers,201,thousands,3,v61004,4.1,427,,,,0
1920,Nova Scotia,2016A000212,Eggs per 100 layers,Eggs,132,units ,0,v61015,4.2,9000,,,,0
1920,Nova Scotia,2016A000212,Production of eggs in shell,Dozens,129,thousands,3,v61035,4.3,3154,,,,0
1920,Nova Scotia,2016A000212,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61093,4.9,757,,,,0
1920,New Brunswick,2016A000213,Average number of layers,Layers,201,thousands,3,v61005,5.1,391,,,,0
1920,New Brunswick,2016A000213,Eggs per 100 layers,Eggs,132,units ,0,v61016,5.2,9600,,,,0
1920,New Brunswick,2016A000213,Production of eggs in shell,Dozens,129,thousands,3,v61041,5.3,3081,,,,0
1920,New Brunswick,2016A000213,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61098,5.9,739,,,,0
1920,Quebec,2016A000224,Average number of layers,Layers,201,thousands,3,v61006,6.1,1920,,,,0
1920,Quebec,2016A000224,Eggs per 100 layers,Eggs,132,units ,0,v61017,6.2,7600,,,,0
1920,Quebec,2016A000224,Production of eggs in shell,Dozens,129,thousands,3,v61047,6.3,11978,,,,0
1920,Quebec,2016A000224,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61103,6.9,4088,,,,0
1920,Ontario,2016A000235,Average number of layers,Layers,201,thousands,3,v61007,7.1,5850,,,,0
1920,Ontario,2016A000235,Eggs per 100 layers,Eggs,132,units ,0,v61018,7.2,10700,,,,0
1920,Ontario,2016A000235,Production of eggs in shell,Dozens,129,thousands,3,v61053,7.3,51380,,,,0
1920,Ontario,2016A000235,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61108,7.9,18253,,,,0
1920,Manitoba,2016A000246,Average number of layers,Layers,201,thousands,3,v61008,8.1,1176,,,,0
1920,Manitoba,2016A000246,Eggs per 100 layers,Eggs,132,units ,0,v61019,8.2,9200,,,,0
1920,Manitoba,2016A000246,Production of eggs in shell,Dozens,129,thousands,3,v61059,8.3,8881,,,,0
1920,Manitoba,2016A000246,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61113,8.9,1940,,,,0
1920,Saskatchewan,2016A000247,Average number of layers,Layers,201,thousands,3,v61009,9.1,1976,,,,0
1920,Saskatchewan,2016A000247,Eggs per 100 layers,Eggs,132,units ,0,v61020,9.2,8900,,,,0
1920,Saskatchewan,2016A000247,Production of eggs in shell,Dozens,129,thousands,3,v61065,9.3,14435,,,,0
1920,Saskatchewan,2016A000247,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61118,9.9,2926,,,,0
1920,Alberta,2016A000248,Average number of layers,Layers,201,thousands,3,v61010,10.1,1510,,,,0
1920,Alberta,2016A000248,Eggs per 100 layers,Eggs,132,units ,0,v61021,10.2,8400,,,,0
1920,Alberta,2016A000248,Production of eggs in shell,Dozens,129,thousands,3,v61071,10.3,10554,,,,0
1920,Alberta,2016A000248,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61123,10.9,2292,,,,0
1920,British Columbia,2016A000259,Average number of layers,Layers,201,thousands,3,v61011,11.1,684,,,,0
1920,British Columbia,2016A000259,Eggs per 100 layers,Eggs,132,units ,0,v61022,11.2,11200,,,,0
1920,British Columbia,2016A000259,Production of eggs in shell,Dozens,129,thousands,3,v61077,11.3,6288,,,,0
1920,British Columbia,2016A000259,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61128,11.9,2439,,,,0
1921,Canada,2016A000011124,Average number of layers,Layers,201,thousands,3,v61001,1.1,16375,,,,0
1921,Canada,2016A000011124,Eggs per 100 layers,Eggs,132,units ,0,v61012,1.2,9500,,,,0
1921,Canada,2016A000011124,Production of eggs in shell,Dozens,129,thousands,3,v61023,1.3,128207,,,,0
1921,Canada,2016A000011124,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61083,1.9,37707,,,,0
1921,Newfoundland and Labrador,2016A000210,Average number of layers,Layers,201,thousands,3,v61003,2.1,0,,,,0
1921,Newfoundland and Labrador,2016A000210,Eggs per 100 layers,Eggs,132,units ,0,v61014,2.2,0,,,,0
1921,Newfoundland and Labrador,2016A000210,Production of eggs in shell,Dozens,129,thousands,3,v61030,2.3,0,,,,0
1921,Newfoundland and Labrador,2016A000210,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61089,2.9,0,,,,0
1921,Prince Edward Island,2016A000211,Average number of layers,Layers,201,thousands,3,v61002,3.1,320,,,,0
1921,Prince Edward Island,2016A000211,Eggs per 100 layers,Eggs,132,units ,0,v61013,3.2,9900,,,,0
1921,Prince Edward Island,2016A000211,Production of eggs in shell,Dozens,129,thousands,3,v61024,3.3,2600,,,,0
1921,Prince Edward Island,2016A000211,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61084,3.9,570,,,,0
1921,Nova Scotia,2016A000212,Average number of layers,Layers,201,thousands,3,v61004,4.1,392,,,,0
1921,Nova Scotia,2016A000212,Eggs per 100 layers,Eggs,132,units ,0,v61015,4.2,9000,,,,0
1921,Nova Scotia,2016A000212,Production of eggs in shell,Dozens,129,thousands,3,v61035,4.3,2896,,,,0
1921,Nova Scotia,2016A000212,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61093,4.9,694,,,,0
1921,New Brunswick,2016A000213,Average number of layers,Layers,201,thousands,3,v61005,5.1,396,,,,0
1921,New Brunswick,2016A000213,Eggs per 100 layers,Eggs,132,units ,0,v61016,5.2,9600,,,,0
1921,New Brunswick,2016A000213,Production of eggs in shell,Dozens,129,thousands,3,v61041,5.3,3120,,,,0
1921,New Brunswick,2016A000213,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61098,5.9,746,,,,0
1921,Quebec,2016A000224,Average number of layers,Layers,201,thousands,3,v61006,6.1,2106,,,,0
1921,Quebec,2016A000224,Eggs per 100 layers,Eggs,132,units ,0,v61017,6.2,7600,,,,0
1921,Quebec,2016A000224,Production of eggs in shell,Dozens,129,thousands,3,v61047,6.3,13138,,,,0
1921,Quebec,2016A000224,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61103,6.9,4455,,,,0
1921,Ontario,2016A000235,Average number of layers,Layers,201,thousands,3,v61007,7.1,6164,,,,0
1921,Ontario,2016A000235,Eggs per 100 layers,Eggs,132,units ,0,v61018,7.2,10700,,,,0
1921,Ontario,2016A000235,Production of eggs in shell,Dozens,129,thousands,3,v61053,7.3,54138,,,,0
1921,Ontario,2016A000235,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61108,7.9,19044,,,,0
1921,Manitoba,2016A000246,Average number of layers,Layers,201,thousands,3,v61008,8.1,1281,,,,0
1921,Manitoba,2016A000246,Eggs per 100 layers,Eggs,132,units ,0,v61019,8.2,9200,,,,0
1921,Manitoba,2016A000246,Production of eggs in shell,Dozens,129,thousands,3,v61059,8.3,9674,,,,0
1921,Manitoba,2016A000246,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61113,8.9,2105,,,,0
1921,Saskatchewan,2016A000247,Average number of layers,Layers,201,thousands,3,v61009,9.1,2967,,,,0
1921,Saskatchewan,2016A000247,Eggs per 100 layers,Eggs,132,units ,0,v61020,9.2,8900,,,,0
1921,Saskatchewan,2016A000247,Production of eggs in shell,Dozens,129,thousands,3,v61065,9.3,21675,,,,0
1921,Saskatchewan,2016A000247,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61118,9.9,4386,,,,0
1921,Alberta,2016A000248,Average number of layers,Layers,201,thousands,3,v61010,10.1,1954,,,,0
1921,Alberta,2016A000248,Eggs per 100 layers,Eggs,132,units ,0,v61021,10.2,8400,,,,0
1921,Alberta,2016A000248,Production of eggs in shell,Dozens,129,thousands,3,v61071,10.3,13657,,,,0
1921,Alberta,2016A000248,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61123,10.9,2948,,,,0
1921,British Columbia,2016A000259,Average number of layers,Layers,201,thousands,3,v61011,11.1,795,,,,0
1921,British Columbia,2016A000259,Eggs per 100 layers,Eggs,132,units ,0,v61022,11.2,11200,,,,0
1921,British Columbia,2016A000259,Production of eggs in shell,Dozens,129,thousands,3,v61077,11.3,7309,,,,0
1921,British Columbia,2016A000259,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61128,11.9,2759,,,,0
1922,Canada,2016A000011124,Average number of layers,Layers,201,thousands,3,v61001,1.1,18038,,,,0
1922,Canada,2016A000011124,Eggs per 100 layers,Eggs,132,units ,0,v61012,1.2,9500,,,,0
1922,Canada,2016A000011124,Production of eggs in shell,Dozens,129,thousands,3,v61023,1.3,141314,,,,0
1922,Canada,2016A000011124,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61083,1.9,41474,,,,0
1922,Newfoundland and Labrador,2016A000210,Average number of layers,Layers,201,thousands,3,v61003,2.1,0,,,,0
1922,Newfoundland and Labrador,2016A000210,Eggs per 100 layers,Eggs,132,units ,0,v61014,2.2,0,,,,0
1922,Newfoundland and Labrador,2016A000210,Production of eggs in shell,Dozens,129,thousands,3,v61030,2.3,0,,,,0
1922,Newfoundland and Labrador,2016A000210,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61089,2.9,0,,,,0
1922,Prince Edward Island,2016A000211,Average number of layers,Layers,201,thousands,3,v61002,3.1,313,,,,0
1922,Prince Edward Island,2016A000211,Eggs per 100 layers,Eggs,132,units ,0,v61013,3.2,9900,,,,0
1922,Prince Edward Island,2016A000211,Production of eggs in shell,Dozens,129,thousands,3,v61024,3.3,2543,,,,0
1922,Prince Edward Island,2016A000211,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61084,3.9,556,,,,0
1922,Nova Scotia,2016A000212,Average number of layers,Layers,201,thousands,3,v61004,4.1,476,,,,0
1922,Nova Scotia,2016A000212,Eggs per 100 layers,Eggs,132,units ,0,v61015,4.2,9000,,,,0
1922,Nova Scotia,2016A000212,Production of eggs in shell,Dozens,129,thousands,3,v61035,4.3,3516,,,,0
1922,Nova Scotia,2016A000212,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61093,4.9,884,,,,0
1922,New Brunswick,2016A000213,Average number of layers,Layers,201,thousands,3,v61005,5.1,434,,,,0
1922,New Brunswick,2016A000213,Eggs per 100 layers,Eggs,132,units ,0,v61016,5.2,9600,,,,0
1922,New Brunswick,2016A000213,Production of eggs in shell,Dozens,129,thousands,3,v61041,5.3,3420,,,,0
1922,New Brunswick,2016A000213,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61098,5.9,815,,,,0
1922,Quebec,2016A000224,Average number of layers,Layers,201,thousands,3,v61006,6.1,2376,,,,0
1922,Quebec,2016A000224,Eggs per 100 layers,Eggs,132,units ,0,v61017,6.2,7600,,,,0
1922,Quebec,2016A000224,Production of eggs in shell,Dozens,129,thousands,3,v61047,6.3,14822,,,,0
1922,Quebec,2016A000224,"Value of production of eggs in shell, total",Dollars,81,thousands,3,v61103,6.9,4999,,,,0
1922,Ontario,2016A000235,Average number of layers,Layers,201,thousands,3,v61007,7.1,7071,,,,0
1922,Ontario,2016A000235,Eggs per 100 layers,Eggs,132,units ,0,v61018,7.2,10700,,,,0
1922,Ontario,2016A000235,Production of eggs in shell,Dozens,129,thousands,3,v61053,7.3,62104,,,,0
