source,"Table 32-10-0110-01  Cash receipts from milk and cream sold off farms (x 1,000)",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,363058,,,t,0
Jan-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159466,,,,0
Feb-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,347330,,,t,0
Feb-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150728,,,,0
Mar-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,421165,,,t,0
Mar-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159466,,,,0
Apr-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,550048,,,t,0
Apr-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156844,,,,0
May-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,730485,,,t,0
May-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,164708,,,,0
Jun-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,886893,,,t,0
Jun-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,162961,,,,0
Jul-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,842766,,,t,0
Jul-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161650,,,,0
Aug-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,731796,,,t,0
Aug-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152475,,,,0
Sep-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,630436,,,t,0
Sep-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152912,,,,0
Oct-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,557475,,,t,0
Oct-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543,,,,0
Nov-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,424223,,,t,0
Nov-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,149417,,,,0
Dec-46,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,377475,,,t,0
Dec-46,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156844,,,,0
Jan-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,366990,,,t,0
Jan-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,158155,,,,0
Feb-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,344708,,,t,0
Feb-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,145922,,,,0
Mar-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,418980,,,t,0
Mar-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154223,,,,0
Apr-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,548737,,,t,0
Apr-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,150291,,,,0
May-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,709077,,,t,0
May-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,160776,,,,0
Jun-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,875533,,,t,0
Jun-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159466,,,,0
Jul-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,846262,,,t,0
Jul-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,155970,,,,0
Aug-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,747087,,,t,0
Aug-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,147669,,,,0
Sep-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,702961,,,t,0
Sep-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543,,,,0
Oct-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,601165,,,t,0
Oct-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148543,,,,0
Nov-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,427281,,,t,0
Nov-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,146796,,,,0
Dec-47,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,366553,,,t,0
Dec-47,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152475,,,,0
Jan-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,353009,,,t,0
Jan-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,152038,,,,0
Feb-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,335097,,,t,0
Feb-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,143737,,,,0
Mar-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,404999,,,t,0
Mar-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,151601,,,,0
Apr-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,502864,,,t,0
Apr-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,142427,,,,0
May-48,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,673252,,,t,0
May-48,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,148106,,,,0
